Regions,Life_Expectancy_in_2010,Male_Life_Expectancy_in_2010,Female_Life_Expectancy_in_2010,GDP_per_capita_in_2010_yuan,Resident_consumption_level_yuan,Health_technicians_per_10000_people,Number_of_health_care_facilities,Average_number_of_students_in_higher_institutions_per_100000_population,Education_expenditure_millionyuan,Average_elevation_metre,Annual_precipitation_millimetre
Beijing,80.18,78.28,82.21,78307,24982,136,9411,6196,61344.48,43.5,500
Tianjing,78.89,77.42,80.48,54053,17852,71,4542,4412,29209.7,22,600
Hebei,74.97,72.7,77.47,25308,8057,40,81403,1951,71927.34,509,600
Shanxi,74.92,72.87,77.28,25434,8447,56,41098,2132,45081.95,1160,520
Neimenggu,74.44,72.04,77.27,33262,10925,51,22565,1884,41437.31,999,220
Liaoning,76.38,74.12,78.86,31888,13016,55,34805,2671,62426.15,224,800
Jiling,76.18,74.12,78.44,23370,9241,51,19385,2716,34456.11,404,550
Heilongjiang,75.98,73.52,78.81,21694,9121,50,22073,2447,40485.65,313,500
Shanghai,80.26,78.2,82.44,79396,32271,97,4708,4300,55827.36,4,1124
Jiangsu,76.63,74.6,78.81,52787,14035,44,30956,2819,131462.33,15,1000
Zhejiang,77.73,75.58,80.21,51110,18274,61,29939,2285,106256.88,303,1400
Anhui,75.08,72.65,77.84,21923,8237,31,22997,1841,59908.68,195,1200
Fujian,75.76,73.27,78.64,40773,13187,41,27017,2144,53411.18,482,1600
Jiangxi,74.33,71.94,77.06,21099,7989,34,34068,2162,44945.97,246,1600
Shandong,76.46,74.05,79.06,35599,11606,47,66967,2202,103959,90,710
Henan,74.57,71.84,77.59,23984,7837,35,75741,1839,91111.64,246,700
Hubei,74.87,72.68,77.35,28359,8977,42,34269,2906,58691.64,431,1200
Hunan,74.7,72.28,77.48,24005,8922,38,59359,2051,64976.08,357,1500
Guangdong,76.49,74,79.37,44669,17211,53,44880,2037,153273.48,218,1800
Guangxi,75.11,71.77,79.05,18070,7920,36,32741,1530,49414.16,395,1600
Hainan,76.3,73.2,80.01,23323,7553,44,4678,2036,14226.73,191,1639
Chongqing,75.7,73.16,78.6,28084,9723,34,17495,2413,40684.37,730,1439
Sichuan,74.75,72.25,77.59,21230,8182,36,74283,1790,89517.81,2560,1100
Guizhou,71.1,68.43,74.11,12882,6218,25,25420,1109,36695.5,1104,1200
Yunnan,69.54,67.06,72.43,16866,6811,32,22888,1391,53363.17,1892,1100
Xizang,68.17,66.33,70.07,17209,4469,34,4960,1373,6622.93,4737,400
Shannxi,74.68,72.84,76.74,26388,8474,47,35696,3208,51436.35,1130,600
Gansu,72.23,70.6,74.06,15421,6234,37,26673,1882,31067.36,2158,300
Qinghai,69.96,68.11,72.07,20418,7326,45,5781,1119,10622.06,4049,380
Ningxia,73.38,71.31,75.71,24984,8992,47,4129,1868,9946.71,1559,200
Xinjiang,72.35,70.3,74.86,24700,7400,57,16000,1467,36559.98,1904,154
